District,Taluks,Hoblies,Grama Panchayaths,Circles,Inhabited Village Status,Total Villages,City Corporations,City Municipalities,Town Muncipal Councils,Town Panchayats,NACsUrban Local Bodies,Total Urban Bodies,Police Stations,Prisons,Male Prisoners,Female Prisoners,Fire Stations,Fire Tankers,Fire Emergency Calls,Property Saved (2019–20),Urban Ration Shops,Rural Ration Shops,Total Ration Shops,Urban Anthyodaya Holders,Rural Anthyodaya Holders,Total Anthyodaya Holders,Urban Priority Holders,Rural Priority Holders,Total Priority Holders,Urban Non-Priority Holders,Rural Non-Priority Holders,Total Non-Priority Holders,Urban Card Holders,Rural Card Holders,Total Card Holders,Urban With Cylinder,Rural With Cylinder,Total With Cylinder,% With Cylinder (State Share),Urban Without Cylinder,Rural Without Cylinder,Total Without Cylinder,% Without Cylinder (State),Rural With Cylinder,Total With Cylinder,% With Cylinder (State),Urban Without Cylinder,Rural Without Cylinder,Total Without Cylinder,% Without Cylinder (State),Urban With Cylinder (2),Rural With Cylinder (2),Total With Cylinder (2),% With Cylinder (State) (2),Urban Without Cylinder (2),Rural Without Cylinder (2),Total Without Cylinder (2),% Without Cylinder (State) (2),GDDP Current Prices 2017–18,NDDP Current Prices 2017–18,GDDP Constant Prices 2017–18,NDDP Constant Prices 2017–18,Per Capita Income (Current),Per Capita Income (Constant),Rank
Kodagu,3,16,104,109,291,296,0,1,0,3,0,4,20,1,166,10,4,10,148,235.18,23,255,278,488,9558,10046,11247,88111,99358,5355,24565,29920,17090,122234,139324,487,8125,8612,0.62,1,1433,1434,1.05,76925,88172,0.8,0,11186,11186,1.59,5355,24565,29920,1.52,0,0,0,0.0,783639,691414,605567,527361,116114,88792,18
Mandya,7,45,233,415,1368,1477,0,1,6,1,0,8,52,1,230,15,7,20,807,876.0,96,633,729,2300,32115,34415,57642,392567,450209,16475,30426,46901,76417,455108,531525,2300,32115,34415,2.48,0,0,0,0.0,392567,450209,4.1,0,0,0,0.0,16475,30426,46901,2.38,0,0,0,0.0,3419331,3076159,2605893,2321678,158639,119748,7
Mysuru,8,33,266,429,1199,1336,1,2,5,1,0,9,49,3,909,70,9,22,1218,21193.0,294,726,1020,4453,45992,50445,178324,477529,655853,63906,26744,90650,246683,550265,796948,4453,45988,50441,3.64,0,4,4,0.0,477437,655755,5.98,6,92,98,0.01,63906,26744,90650,4.59,0,0,0,0.0,4672167,4157788,3591157,3155303,129016,97939,14
Chamarajanagara,5,16,130,222,428,509,0,2,1,2,0,5,18,1,128,0,4,8,299,392.62,53,426,479,2619,33125,35744,37860,217946,255806,4239,6762,11001,44718,257833,302551,2619,32807,35426,2.55,0,318,318,0.23,191983,229830,2.09,13,25963,25976,3.69,4239,6324,10563,0.54,0,438,438,1.01,1563250,1366697,1216673,1063329,125986,97021,15
Belagavi,14,38,506,563,1263,1275,1,2,15,15,1,34,51,4,977,53,14,32,864,2134.0,406,1314,1720,8917,59809,68726,250516,817611,1068127,162834,131200,294034,422267,1008620,1430887,8915,57656,66571,4.8,2,2153,2155,1.58,787024,1037538,9.46,2,30587,30589,4.35,162834,129583,292417,14.81,0,1617,1617,3.73,6129837,5395986,4519498,3914651,105133,76288,24
Vijayapura,12,20,212,206,679,692,1,0,5,8,0,14,63,1,686,14,6,12,316,1856.0,135,700,835,6795,35537,42332,116890,350143,467033,26102,40688,66790,149787,426368,576155,6690,20152,26842,1.94,105,15385,15490,11.39,243080,358902,3.27,1068,107063,108131,15.38,25758,35239,60997,3.09,344,5449,5793,13.37,2513168,2197047,1914861,1646876,93908,70444,28
Bagalkot,9,18,198,244,613,624,0,5,5,5,0,15,23,2,246,3,7,13,336,1699.0,174,526,700,9016,37244,46260,118709,247809,366518,13564,41765,55329,141289,326818,468107,8757,17773,26530,1.91,259,19471,19730,14.5,178307,297016,2.71,0,69502,69502,9.88,13564,33183,46747,2.37,0,8582,8582,19.81,3408400,3064819,2605044,2319059,151030,114283,10
Dharwad,8,14,144,199,361,379,1,0,2,3,0,6,33,2,680,31,6,11,287,4299.95,244,264,508,6425,23227,29652,174534,176592,351126,64964,14431,79395,245923,214250,460173,6425,19100,25525,1.84,0,4127,4127,3.03,142897,317431,2.89,0,33695,33695,4.79,64964,14431,79395,4.02,0,0,0,0.0,3275019,2964545,2572755,2308249,149469,116398,9
Gadag,7,11,122,194,322,337,0,1,5,3,0,9,15,1,110,0,6,13,269,982.0,104,245,349,2911,25408,28319,76494,148795,225289,17306,14776,32082,96711,188979,285690,2895,18675,21570,1.55,16,6733,6749,4.96,93580,169934,1.55,140,55215,55355,7.87,17293,9389,26682,1.35,13,5387,5400,12.46,1494902,1323879,1153495,1009127,115808,88294,19
Haveri,8,19,224,256,696,703,0,2,5,3,0,10,22,1,116,10,7,17,477,696.67,107,349,456,6318,40837,47155,67100,274887,341987,20880,27018,47898,94298,342742,437040,6318,38972,45290,3.26,0,1865,1865,1.37,271053,338153,3.08,0,3834,3834,0.55,20880,27018,47898,2.43,0,0,0,0.0,2156504,1911651,1655133,1445954,111426,84331,20
Uttara Kannada,12,35,231,239,1243,1289,0,3,4,5,0,12,44,2,159,1,11,15,415,1589.21,74,333,407,863,15285,16148,60247,232096,292343,32434,49940,82374,93544,297321,390865,812,11355,12167,0.88,51,3930,3981,2.93,182557,238533,2.17,4271,49539,53810,7.65,32292,43855,76147,3.86,142,6085,6227,14.37,2417341,2238412,1828650,1612276,139903,104502,12
Ballari,11,31,237,341,601,632,1,2,7,6,0,16,42,3,711,34,10,23,865,1603.41,170,527,697,13653,52965,66618,179966,349301,529267,41070,15836,56906,234689,418102,652791,13652,52961,66613,4.8,1,4,5,0.0,349226,529184,4.82,8,75,83,0.01,41068,15827,56895,2.88,2,9,11,0.03,4821100,4269786,3762954,3299188,133982,104445,13
Bidar,8,30,185,302,595,620,0,2,5,1,0,8,35,2,282,17,6,14,629,2848.48,158,565,723,2673,37133,39806,68193,239168,307361,16545,25197,41742,87411,301498,388909,2673,33357,36030,2.6,0,3776,3776,2.78,224075,292268,2.66,0,15093,15093,2.15,16545,25197,41742,2.11,0,0,0,0.0,2038541,1803044,1549379,1351542,98578,73902,25
Kalburgi,11,32,264,351,871,918,1,1,7,2,2,13,93,3,943,20,7,17,498,949.69,210,773,983,8467,54987,63454,155644,330388,486032,52769,39724,92493,216880,425099,641979,8412,33425,41837,3.02,55,21562,21617,15.89,221065,376518,3.43,191,109323,109514,15.57,52756,29796,82552,4.18,13,9928,9941,22.95,2902138,2534515,2234360,1923068,91970,69799,29
Yadgir,6,16,123,169,487,513,0,3,3,1,1,8,15,2,143,0,3,7,243,471.0,72,327,399,5680,23546,29226,47302,184799,232101,4346,5054,9400,57328,213399,270727,3824,10053,13877,1.0,1856,13493,15349,11.28,87019,132622,1.21,1699,97780,99479,14.15,3521,4094,7615,0.39,825,960,1785,4.12,1470073,1301166,1106586,964149,103188,76476,22
Raichur,7,37,179,280,815,884,0,2,5,5,2,14,28,4,237,3,6,17,731,1114.0,158,557,715,9702,43370,53072,98143,306450,404593,2504,3913,6417,110349,353733,464082,9702,43370,53072,3.83,0,0,0,0.0,306450,404593,3.69,0,0,0,0.0,2504,3913,6417,0.33,0,0,0,0.0,2276129,1998556,1735584,1501531,96492,72522,26
Koppal,7,20,153,157,595,629,0,2,2,5,1,10,18,3,211,19,6,15,379,812.0,72,372,444,4833,32674,37507,58999,232022,291021,5762,8718,14480,69594,273414,343008,4826,19051,23877,1.72,7,13623,13630,10.02,163888,222846,2.03,41,68134,68175,9.69,5761,6918,12679,0.64,1,1800,1801,4.16,1632086,1438505,1224804,1061649,96380,71153,27
